Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
C1  Ordnance Hill,6429,51.5363083,-0.171920002,Westminster City Council,NW8 6PU,"C1, Ordnance Hill/C1 Westminster City Council",23,Car,05 March 2023,Monday to Friday 8:30am - 6:30pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Springfield Road,6431,51.5376091,-0.183559999,Westminster City Council,NW8 0QU,"C1, Springfield Road/C1 Westminster City Council",5,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  St John's Wood Terrace,6432,51.535881,-0.167449996,Westminster City Council,NW8 6LF,"C1, St John's Wood Terrace/C1 Westminster City Council",9,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Waverley Place,6433,51.5343094,-0.175479993,Westminster City Council,NW8 9TT,"C1, Waverley Place/C1 Westminster City Council",10,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Alperton Street,6435,51.5268784,-0.20679,Westminster City Council,W10 4NQ,"C2, Alperton Street/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Ashmore Road,6436,51.5299988,-0.202999994,Westminster City Council,W9 3BN,"C2, Ashmore Road/C2 Westminster City Council",12,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Ashmore Road,6437,51.5324783,-0.203889996,Westminster City Council,NW6 6HN,"C2, Ashmore Road/C2 Westminster City Council",5,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Barfett Street,6438,51.5270004,-0.206400007,Westminster City Council,W10 4NQ,"C2, Barfett Street/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Beethoven Street,6439,51.5312691,-0.208379999,Westminster City Council,W10 4LL,"C2, Beethoven Street/C2 Westminster City Council",11,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Bravington Road,6440,51.5298004,-0.204439998,Westminster City Council,W9 3AS,"C2, Bravington Road/C2 Westminster City Council",8,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Bravington Road,6441,51.5276184,-0.204559997,Westminster City Council,W9 3AA,"C2, Bravington Road/C2 Westminster City Council",11,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Bravington Road,6442,51.5316086,-0.205530003,Westminster City Council,W9 3AR,"C2, Bravington Road/C2 Westminster City Council",5,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Dart Street,6443,51.5307198,-0.205950007,Westminster City Council,W10 4JS,"C2, Dart Street/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Droop Street,6444,51.5279999,-0.214000002,Westminster City Council,W10 4DA,"C2, Droop Street/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Droop Street,6445,51.5273895,-0.209539995,Westminster City Council,W10 4DQ,"C2, Droop Street/C2 Westminster City Council",12,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Fifth Avenue,6446,51.5279007,-0.212109998,Westminster City Council,W10 4DN,"C2, Fifth Avenue/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  First Avenue,6447,51.5279312,-0.205459997,Westminster City Council,W9 3AJ,"C2, First Avenue/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Ilbert Street,6448,51.5291901,-0.212789997,Westminster City Council,W10 4QF,"C2, Ilbert Street/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Ilbert Street,6449,51.528801,-0.209099993,Westminster City Council,W10 4QJ,"C2, Ilbert Street/C2 Westminster City Council",15,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Kilravock Street,6450,51.5296783,-0.212500006,Westminster City Council,W10 4HZ,"C2, Kilravock Street/C2 Westminster City Council",12,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Lancefield Street,6451,51.5293388,-0.205799997,Westminster City Council,W10 4PB,"C2, Lancefield Street/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Lothrop Street,6452,51.5301399,-0.211999997,Westminster City Council,W10 4JA,"C2, Lothrop Street/C2 Westminster City Council",12,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Marban Road,6453,51.530941,-0.204600006,Westminster City Council,W9 3AT,"C2, Marban Road/C2 Westminster City Council",9,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Nutbourne Street,6454,51.530941,-0.211940005,Westminster City Council,W10 4HL,"C2, Nutbourne Street/C2 Westminster City Council",16,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Oliphant Street,6455,51.5311089,-0.214230001,Westminster City Council,W10 4EE,"C2, Oliphant Street/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Portnall Road,6456,51.5307884,-0.204019994,Westminster City Council,W9 3BQ,"C2, Portnall Road/C2 Westminster City Council",5,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Portnall Road,6457,51.5325699,-0.204820007,Westminster City Council,W9 3EF,"C2, Portnall Road/C2 Westminster City Council",7,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Second Avenue,6458,51.5279312,-0.206850007,Westminster City Council,W10 4RP,"C2, Second Avenue/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Shirland Road,6459,51.5290489,-0.203999996,Westminster City Council,W9 3JJ,"C2, Shirland Road/C2 Westminster City Council",8,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Sixth Avenue,6460,51.5310287,-0.213139996,Westminster City Council,W10 4HJ,"C2, Sixth Avenue/C2 Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C2  Third Avenue,6461,51.530571,-0.208399996,Westminster City Council,W10 4JL,"C2, Third Avenue/C2 Westminster City Council",9,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Cochrane Street,6464,51.5321198,-0.170249999,Westminster City Council,NW8 7NY,"C1, Cochrane Street/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Hamilton Terrace,6466,51.5269394,-0.177200004,Westminster City Council,NW8 9RE,"C1, Hamilton Terrace/C1 Westminster City Council",6,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Hamilton Terrace,6467,51.5286903,-0.179269999,Westminster City Council,NW8 9RD,"C1, Hamilton Terrace/C1 Westminster City Council",6,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Hamilton Terrace,6468,51.5281181,-0.178460002,Westminster City Council,NW8 9RG,"C1, Hamilton Terrace/C1 Westminster City Council",5,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
BC  Lisson Grove,6469,51.5265999,-0.172199994,Westminster City Council,NW8 8LF,"BC, Lisson Grove/B/C Westminster City Council",6,Car,19 February 2023,Monday to Friday 10:00am - 4:00pm,£0.57 (0.05),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Shannon Place,6471,51.5347786,-0.166209996,Westminster City Council,NW8 7DN,"C1, Shannon Place/C1 Westminster City Council",12,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  St John's Wood High Street,6472,51.5311699,-0.167830005,Westminster City Council,NW8 7NE,"C1, St John's Wood High Street/C1 Westminster City Council",7,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
C1  Wells Rise,6473,51.5363388,-0.160999998,Westminster City Council,NW8 7LX,"C1, Wells Rise/C1 Westminster City Council",13,Car,24 February 2023,Monday to Friday 10:00am - 4:00pm,£0.32 (0.03),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Bloomburg Street,6500,51.4923782,-0.136079997,Westminster City Council,SW1V 2RL,"D4, Bloomburg Street/D4 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Udall Street,6501,51.4924583,-0.136930004,Westminster City Council,SW1P 2PR,"D4, Udall Street/D4 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6503,51.4941216,-0.134259999,Westminster City Council,SW1P 2PF,"D4, Vincent Square/D4 Westminster City Council",5,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6504,51.4933815,-0.133579999,Westminster City Council,SW1P 2LX,"D4, Vincent Square/D4 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6505,51.4947205,-0.135800004,Westminster City Council,SW1P 2PD,"D4, Vincent Square/D4 Westminster City Council",7,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6506,51.4942513,-0.134719998,Westminster City Council,SW1P 2PB,"D4, Vincent Square/D4 Westminster City Council",7,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6507,51.4942894,-0.136010006,Westminster City Council,SW1P 2PA,"D4, Vincent Square/D4 Westminster City Council",19,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6508,51.4943886,-0.135920003,Westminster City Council,SW1P 2PA,"D4, Vincent Square/D4 Westminster City Council",12,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Vincent Square,6510,51.4929695,-0.136690006,Westminster City Council,SW1P 2NE,"D4, Vincent Square/D4 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Douglas Street,6511,51.4917984,-0.134440005,Westminster City Council,SW1P 2NN,"D4, Douglas Street/D4 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Hide Place,6512,51.4924202,-0.133389995,Westminster City Council,SW1P 4NJ,"D4, Hide Place/D4 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Esterbrooke Street,6513,51.4919281,-0.132579997,Westminster City Council,SW1P 4AD,"D4, Esterbrooke Street/D4 Westminster City Council",3,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Chapter Street,6514,51.4911995,-0.133890003,Westminster City Council,SW1P 4NX,"D4, Chapter Street/D4 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Fynes Street,6515,51.493679,-0.133059993,Westminster City Council,SW1P 4NH,"D4, Fynes Street/D4 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Rutherford Street,6516,51.49403,-0.132929996,Westminster City Council,SW1P 4BZ,"D4, Rutherford Street/D4 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Rutherford Street,6517,51.4940796,-0.132829994,Westminster City Council,SW1P 4BZ,"D4, Rutherford Street/D4 Westminster City Council",5,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Maunsel Street,6518,51.4940605,-0.133839995,Westminster City Council,SW1P 2PG,"D4, Maunsel Street/D4 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D4  Elverton Street,6519,51.4948311,-0.133780003,Westminster City Council,SW1P 2QW,"D4, Elverton Street/D4 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Causton Street,6520,51.4897919,-0.131469995,Westminster City Council,SW1V 2SD,"D1, Causton Street/D1 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Causton Street,6521,51.4907608,-0.131449997,Westminster City Council,SW1P 4AS,"D1, Causton Street/D1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Causton Street,6522,51.4910583,-0.131919995,Westminster City Council,SW1P 4AS,"D1, Causton Street/D1 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Ponsonby Terrace,6523,51.4892197,-0.129380003,Westminster City Council,SW1P 4RP,"D1, Ponsonby Terrace/D1 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Ponsonby Place,6524,51.4897499,-0.129600003,Westminster City Council,SW1P 4PT,"D1, Ponsonby Place/D1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  John Islip Street,6525,51.493,-0.127540007,Westminster City Council,SW1P 4LG,"D1, John Islip Street/D1 Westminster City Council",10,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  John Islip Street,6526,51.493,-0.127649993,Westminster City Council,SW1P 4LG,"D1, John Islip Street/D1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  John Islip Street,6527,51.4907494,-0.129360005,Westminster City Council,SW1P 4EA,"D1, John Islip Street/D1 Westminster City Council",6,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Herrick Street,6528,51.4924393,-0.128879994,Westminster City Council,SW1P 4JL,"D1, Herrick Street/D1 Westminster City Council",14,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Herrick Street,6529,51.4919891,-0.128920004,Westminster City Council,SW1P 4JN,"D1, Herrick Street/D1 Westminster City Council",10,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Herrick Street,6530,51.4910202,-0.130070001,Westminster City Council,SW1P 4DZ,"D1, Herrick Street/D1 Westminster City Council",32,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Atterbury Street,6531,51.4906006,-0.128209993,Westminster City Council,SW1P 4RJ,"D1, Atterbury Street/D1 Westminster City Council",16,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Atterbury Street,6532,51.4907799,-0.128590003,Westminster City Council,SW1P 4RJ,"D1, Atterbury Street/D1 Westminster City Council",7,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Atterbury Street,6533,51.4903488,-0.127250001,Westminster City Council,SW1P 4RQ,"D1, Atterbury Street/D1 Westminster City Council",7,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Millbank,6534,51.4920082,-0.125640005,Westminster City Council,SW1P 4HQ,"D1, Millbank/D1 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Millbank,6535,51.4919205,-0.125389993,Westminster City Council,SW1P 4HQ,"D1, Millbank/D1 Westminster City Council",13,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Marsham Street,6538,51.4942398,-0.129120007,Westminster City Council,SW1P 4SA,"D1, Marsham Street/D1 Westminster City Council",8,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Page Street,6539,51.4939308,-0.128439993,Westminster City Council,SW1P 4JT,"D1, Page Street/D1 Westminster City Council",4,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Page Street,6540,51.4939804,-0.127969995,Westminster City Council,SW1P 4PQ,"D1, Page Street/D1 Westminster City Council",16,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Horseferry Road,6541,51.4948387,-0.131400004,Westminster City Council,SW1P 2EE,"D1, Horseferry Road/D1 Westminster City Council",2,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
D1  Horseferry Road,6542,51.4948196,-0.129989997,Westminster City Council,SW1P 2AA,"D1, Horseferry Road/D1 Westminster City Council",9,Car,19 February 2023,Monday to Friday 8:30am - 6:30pm,£0.47 (0.04),,20p,20p,4 Hours,Up to Maximum stay,No,On street,1
